,sentence,head,annotation_type,intensity,polarity,Owen,Amittai,Tyler
653,"""I have had moments of terror and moments of sheer exhilaration,"" he proclaimed.",moments of terror,sentiment,high,negative,,,
654,"""I have had moments of terror and moments of sheer exhilaration,"" he proclaimed.",moments of sheer exhilaration,sentiment,high,positive,,,
655,"I cannot imagine anything as beautiful as that."" The 28-year-old Internet millionaire said he was sleeping comfortably, and the food was not too bad either.",sleeping comfortably,sentiment,low,positive,,,
656,"South Africans should be looking up smiling when he returns, Shuttleworth replied.",smiling,sentiment,medium,positive,,,
657,"Bilateral agreements regarding the Saindak copper and gold projects, Thar coal mines development, technical and economic cooperation, and a joint revolving fund for scientific research, and other hydroelectric projects are likely to be signed during the visit.",agreements,agreement,low,positive,,,
658,"The official programme of Kasyanov's stay in capital Ulaanbaatar will begin with a tete-a-tete meeting with Mongolian Prime Minister Nambaryn Enhbayar on Monday, followed by talks in an extended format and signing of several agreements.",agreements,agreement,low,positive,,,
659,"Tokyo, Jan. 23 Kyodo -- The 225-issue Nikkei Stock Average managed to stay above the 10,000 line Wednesday morning thanks to gains by some semiconductor-related shares and automakers.","The 225-issue Nikkei Stock Average managed to stay above the 10,000 line Wednesday morning thanks to gains by some semiconductor-related shares and automakers",sentiment,low,positive,,,
660,"A short while ago, our correspondent in Bethlehem said that Ra'fat al-Bajjali was martyred of wounds he sustained in the explosion.",was martyred,sentiment,high,negative,,,
661,"Masire said this week he was determined to ""ensure that people from all corners of the country are allowed to express their views"", adding that he wanted to avoid a ""superficial"" exercise.",express their views,arguing,low,positive,,,
662,"The formerly close allies fell out in 1999, the year after each sent troops to back rebel movements in the neighbouring Democratic Republic of Congo, when mounting rivalry lead to violent clashes between their own armies there.",mounting rivalry,other_attitude,medium-high,,,,
663,"The reasoning behind this perception is that if the gangs were after ransom money, it did not matter whether their victims belonged to the diplomatic community.",this perception,arguing,low,positive,,,
664,"At the same time, the PNP can't be burying its head in the sand and offering explanations all the time, rather than check the rise of kidnappings.",burying its head in the sand,other_attitude,medium,,,,
665,"We don't need al-Qaida terrorist attacks in this country to bring the government down in turmoil, create uncertainties in the business community, and frighten tourists and investors away.","We don't need al-Qaida terrorist attacks in this country to bring the government down in turmoil, create uncertainties in the business community, and frighten tourists and investors away",sentiment,high,negative,,,
666,"This perception is also fueled by the crime statistics of Ang-See, who represents the pessimistic outlook in contrast to the more dismissive outlook of the PNP whose statistics are less alarming than those of Ang-See.",the pessimistic outlook,sentiment,medium-high,negative,,,
667,"Whether the incident was plain holdup, as the PNP would like to see it, the abduction reinforced the growing perception in the diplomatic community and foreign governments that there is a breakdown in law and order and that the Macapagal administration is not in control.",growing perception in the diplomatic community and foreign governments that there is a breakdown in law and order,arguing,low-medium,positive,,,
668,Some diplomats raise questions about her priorities.,priorities,sentiment,low-medium,positive,,,
669,"While Ang-See's statistics, derived mainly from non-official sources, paint a grim picture, they should not be ignored.",paint a grim picture,sentiment,high,negative,,,
670,"The fire is raging at home, these sources say, not in the United States, China, Japan or Afghanistan.",The fire is raging at home,sentiment,high,negative,,,
671,"Some administration officials wonder whether she paints doomsday scenarios just to embarrass the administration and to portray the contrast in performance between the PNP under Lacson and the current PNP leadership, which has no love lost with Lacson.",paints doomsday scenarios,sentiment,high-extreme,negative,,,
672,"This perception is also fueled by the crime statistics of Ang-See, who represents the pessimistic outlook in contrast to the more dismissive outlook of the PNP whose statistics are less alarming than those of Ang-See.",perception,arguing,low,positive,,,
673,"This perception is also fueled by the crime statistics of Ang-See, who represents the pessimistic outlook in contrast to the more dismissive outlook of the PNP whose statistics are less alarming than those of Ang-See.",the more dismissive outlook of,sentiment,low,negative,,X,
674,"His concerns echoed those voiced by leading charity Oxfam, which said instability across the country was hampering aid efforts.",concerns,sentiment,medium,negative,,,
675,"""So although our international staff went back to Kabul and hope to go back to the other places ... one cannot say it is safe in the country and secure enough.",one cannot say it is safe in the country and secure enough,sentiment,low-medium,negative,,,
676,"The surrender took days to hammer out, primarily because hard core Taliban and foreign troops from Usama Bin Ladin's al-Qa'ida terror network did not want to give up.",did not want to give up,other_attitude,medium-high,,,,
677,"British troops remained on 48 hour stand-by but the situation was ""better than anybody could have hoped for"", according to Mr Cook.",hoped,sentiment,medium,positive,,,
678,"His concerns echoed those voiced by leading charity Oxfam, which said instability across the country was hampering aid efforts.",concerns,sentiment,medium,negative,,,
679,"""The two governments have actually reached an agreement not to settle their dispute openly, but to settle whatever had arisen from the statement by Senior Minister Lee Kuan Yew through official channels,"" Hassan told reporters.",dispute,agreement,low-medium,negative,,,
680,"The neighboring countries have several mechanisms for handling disputes, he said, without elaborating.",disputes,agreement,low-medium,negative,,,
681,"A few days after filing the complaint, the lawyers received a stack of documents in Hebrew and in English regarding the 1982 Israeli invasion of Lebanon and the Sabra and Shatila events.",filing the complaint,sentiment,medium,negative,,,
682,"In the complaint, Hobeika had not yet been called by name.",the complaint,sentiment,low-medium,negative,,,
683,"The representatives of the Israeli armed forces said that ""rumors about the assault have been prompted by false information, which is being circulated among foreign journalists by Palestinian sources.""",rumors,other_attitude,low,,,,
684,"Concerning the delimitation of the border between Kazakhstan and Russia, Nazarbayev said that this process is continuing without any disagreements and with mutual respect for each other's interests, and that documents on the final delimitation are likely to be signed next year.",disagreements,agreement,medium,negative,,,
685,"Concerning the delimitation of the border between Kazakhstan and Russia, Nazarbayev said that this process is continuing without any disagreements and with mutual respect for each other's interests, and that documents on the final delimitation are likely to be signed next year.",interests,sentiment,low,positive,,,
686,"""This support will be an asset for Mr Colin Powell, to whom we renew our support in his difficult mission,"" according to the communique of the spokesman of the French Foreign Affairs Ministry, Francois Rivasseau.",support,sentiment,medium,positive,,,
687,"""At the moment the focus is on Taliban and Osama bin Laden, but after that what happens?",but after that what happens,other_attitude,low-medium,,,,
688,But they cannot be any real talk of success until the broad strategy against terrorism begins to bear fruit.,talk of success,sentiment,low-medium,positive,,,
689,"Whatever the case, we are entering a difficult period.",we are entering a difficult period,sentiment,low-medium,negative,,,
690,"Since the Sept. 11 terrorist attacks against the United States, countries across the world have been closely monitoring subsequent developments and have taken measures to cope with possible situations, Wu said, noting that short-term pains will eventually pass and everyday life will get back to normal soon.",short-term pains will eventually pass and everyday life will get back to normal soon,sentiment,low-medium,positive,,,
691,"Wu Hui-lin, a researcher at Change Hua Institution for Economic Research, however, predicted that business conditions in the world market would rebound very robustly in the short term, as the new hi-tech war will not last long and ""high-risks will bring about high investment returns.""",predicted that business conditions in the world market would rebound very robustly in the short term,sentiment,low-medium,positive,,,
692,"Since the Sept. 11 terrorist attacks in New York and Washington, investors across the world have been mired in uncertainties, Chen said, adding that should the war against Afghanistan not spread too much, the impact on the global economy will be limited.",mired in uncertainties,sentiment,low-medium,negative,,,
693,"Wu said optimistically that ""it is unnecessary to wait until next year for the recovery to take place"" on the ground that ""vast damage will produce opportunities for construction.""","said optimistically that ""it is unnecessary to wait until next year for the recovery to take place",sentiment,medium,positive,,,
694,"We are grateful for the strong support expressed by the international community, particularly the SADC member states.""",strong support expressed,sentiment,medium-high,positive,,,
695,"After having secured the approval of a working panel in Geneva, Taiwan's entry has yet to be ratified at the WTO's ministerial meeting set for Qatar in November and then undergo parliamentary deliberation at home, he said.",deliberation,other_attitude,low,,,,
696,"Authorities are only too aware that Kashgar is 4,000 kilometres (2,500 miles) from Beijing but only a tenth of the distance from the Pakistani border, and are desperate to ensure instability or militancy does not leak over the frontiers.",desperate to ensure instability or militancy does not leak over the frontiers,sentiment,medium-high,negative,,,
697,"For example, a new Israeli-Arab war.","For example, a new Israeli-Arab war",sentiment,low-medium,negative,,,
698,"In its warnings and appeals for peace, the United States openly ""takes a side"" in this conflict, labeling the other side terrorists, similar to those who carried out the attacks on the Twin Towers in New York.",takes a side,agreement,medium,positive,,,
699,"It is worrying that among Powell's priorities in Beirut were the talks on the activities of the Hezbolah, with an announcement that terrorists might open a new front.",priorities,intention,low-medium,positive,,,
700,"In its warnings and appeals for peace, the United States openly ""takes a side"" in this conflict, labeling the other side terrorists, similar to those who carried out the attacks on the Twin Towers in New York.",warnings,sentiment,medium,negative,,,
701,"Israel did not even have the goodness to look at this plan, demonstrating arrogance toward everything Arab.",plan,intention,low,positive,,,
702,"Contrary to the visible scene and to the illusion of Sharon and Bush, this Zionist-US crime has confirmed that the Zionist entity's historical impasse is constantly aggravating and that ""the Arabs' recognition of this entity's right to exist"" is now more distant than before despite some official Arab ""recognitions.""","the Arabs' recognition of this entity's right to exist"" is now more distant than before",sentiment,medium,negative,,,
703,"As has been acknowledged by Uri Avneri, a veteran Zionist writer, the intifadah's structure ""exists within millions of Palestinians and also within tens of millions of Arabs in whose chests the fire of anger is blazing.""",in whose chests the fire of anger is blazing,sentiment,high,negative,,,
704,"The Zionists have succeeded in achieving these things, but a deep-rooted fact is that they have not succeeded, and will never succeed, in breaking the will of this valiant people or in forcing the Palestinians into relinquishing their just, legitimate rights and ending their glorious struggle for these rights.",will,sentiment,low-medium,positive,,,
705,"The Zionists have succeeded in achieving these things, but a deep-rooted fact is that they have not succeeded, and will never succeed, in breaking the will of this valiant people or in forcing the Palestinians into relinquishing their just, legitimate rights and ending their glorious struggle for these rights.",will,intention,low-medium,positive,,,
706,"In addition, they seek to convince other parties of these two ideas and are waiting for the concerned parties to agree to them, or, at least, to the first one, after which these two administrations will set their own conditions at the table.",ideas,other_attitude,low,,,,
707,"It is also true that thousands of Palestinians and their leaders are held hostage, and that the entire Palestinian people are now experiencing the utmost suffering as part of their daily lives.","It is also true that thousands of Palestinians and their leaders are held hostage, and that the entire Palestinian people are now experiencing the utmost suffering as part of their daily lives",sentiment,high-extreme,negative,,,
708,"The conclusion to which we come is that the Zionist and US administrations have aggravated the Zionist entity's historical impasse through the crime they have committed together when they had the illusion that ""force"" can break the Palestinian people's will and impose on this people what other means failed to impose.",will,intention,low-medium,positive,,,
709,"The conclusion to which we come is that the Zionist and US administrations have aggravated the Zionist entity's historical impasse through the crime they have committed together when they had the illusion that ""force"" can break the Palestinian people's will and impose on this people what other means failed to impose.",will,sentiment,low-medium,positive,,,
710,"In addition, they seek to convince other parties of these two ideas and are waiting for the concerned parties to agree to them, or, at least, to the first one, after which these two administrations will set their own conditions at the table.",will set their own conditions,other_attitude,low-medium,,,,
711,This reconstruction will take place more quickly than what the criminals in Tel Aviv and Washington think.,think,arguing,low-medium,positive,,,
712,"All this is one thing, but the Palestinian people's will is something different.",will,intention,low-medium,positive,,,
713,"All this is one thing, but the Palestinian people's will is something different.",will,sentiment,low-medium,positive,,,
714,"It is true that the Palestinian towns are now under occupation, that the Palestinian Authority's institutions have been destroyed, and that Arafat is still besieged at his office as a hostage.","It is true that the Palestinian towns are now under occupation, that the Palestinian Authority's institutions have been destroyed, and that Arafat is still besieged at his office as a hostage",sentiment,high,negative,,X,
715,"Contrary to the visible scene and to the illusion of Sharon and Bush, this Zionist-US crime has confirmed that the Zionist entity's historical impasse is constantly aggravating and that ""the Arabs' recognition of this entity's right to exist"" is now more distant than before despite some official Arab ""recognitions.""",the illusion,other_attitude,low,,,,
716,The carrying out of the operations in Afghanistan and their mistakes have caused unease in the ruling majority's ranks in Belgium.,unease,sentiment,low-medium,negative,,,
717,It is a crime against humanity.,It is a crime against humanity,sentiment,high-extreme,negative,,,
718,People are being killed in masses and buried in collective graves.,People are being killed in masses and buried in collective graves,sentiment,high-extreme,negative,X,,
719,This carnage is planned and implemented in compliance with decisions from Israeli field marshals.,decisions,other_attitude,low,,,,
720,"The Palestinian people and the entire Arab World are waiting for a proof that international law protects human beings in general regardless of their color, ethnicity and religion.","The Palestinian people and the entire Arab World are waiting for a proof that international law protects human beings in general regardless of their color, ethnicity and religion",sentiment,medium-high,negative,,,
721,"The last time such a request was turned down was in May last year following the collision of a US spy plane with a Chinese fighter jet in international air space over the South China Sea on April 1, 2001.",request,sentiment,low,positive,,,
722,"""No reason was given for the disapproval,"" the spokeswoman added.",the disapproval,sentiment,medium,negative,,,
723,Promises Are Cheap,Promises Are Cheap,sentiment,medium-high,negative,,,
724,He also said that agreements with as many as nine foreign carriers across the globe had already been signed.,agreements,agreement,medium,positive,,,
725,The agreement with Bharat Sanchar Nigam Ltd (BSNL) and Mahanagar Telephone Nigam Ltd (MTNL) would also be signed in the next couple of days.,agreement,agreement,medium,positive,,,
726,Interconnect agreements had already been signed with almost all cellular operators.,agreements,agreement,medium,positive,,,
727,The sources said an American message was delivered to the Foreign Ministry on Friday regarding the Bush administration's claims that Hizbullah was contemplating a new military operation to mark the anniversary of the assassination of then-Hizbullah secretary-general Abbas Mussawi.,was contemplating a new military operation to mark the anniversary of the assassination of then-Hizbullah secretary-general Abbas Mussawi,sentiment,medium,negative,X,,
728,"According to the sources, US fears were based on Israeli information about such a likelihood.",fears,sentiment,medium-high,negative,,,
729,"Lebanese authorities expect the United States to curb such Israeli infractions, the official source added, rather than adopt Israeli claims and seek security for the Jewish state.",claims,arguing,low-medium,positive,,,X
730,"Responding to the demands put forth in a memorandum by the residents of Chhanni Himmat, Narwal, Malik Marker Bye-Pass, Chhanni Bija, Chhanni Rama, Chhanni Kamala and Ambedkar Nagar, the Chief Minister said that he will get examined the issue regarding addition of 11th and 12th classes in the area.",the demands,sentiment,medium,positive,X,,
731,"Expressing concern over dwindling moral values in the society, the Chief Minister said that youngsters must get inspiration from their glorious past and respect their parents and teachers.",get inspiration,other_attitude,medium,,,,X
732,"In response to Tang's enquiry, he expressed that Israel is willing to promise to the international community that Israel will not threaten Arafat's personal safety and will not destroy the Palestine National Authority.",enquiry,sentiment,low,positive,,,
733,"Meanwhile, China opposes and condemns the recent violent activities in Israeli territory, and China expresses condolence, sympathy and solicitude to the family members of the victims, said Tang.","expresses condolence, sympathy and solicitude",sentiment,medium-high,negative,,,
734,"""We applauded this move because it was not only just, but it made us begin to feel that we, as Arabs, were an integral part of Israeli society.","begin to feel that we, as Arabs, were an integral part of Israeli society",sentiment,medium,positive,,,
735,"The forum of Arab council heads is to meet tomorrow to draw up an action campaign aimed at thwarting the plan, part of a package of recommendations put forward by the Treasury for a NIS 13 million cut in government spending.",recommendations,other_attitude,low,,,,
736,"In countries such as China and India where AIDS was still at an early phase of the AIDS pandemic, timely control measures were critical to head off an explosive growth in infection, but these demanded heavy expenditure, he said.",but these demanded heavy expenditure,sentiment,low-medium,negative,,,
737,"""AIDS is casting shadow on Asia's economic miracle, and is turning into a global crisis, as the region accounts for 60 percent of world's population,"" says Michel Sidibe, Director of the Country and Regional Support Department of UNAIDS.",Asia's economic miracle,sentiment,medium-high,positive,,,
738,"That Angela Merkel, the chairwoman of the Christian Democratic Union, wanted the job had long been an open secret, although no one but she knew how far she was prepared to go.",was prepared to go,intention,low,positive,,,
739,"Mr. Stoiber has come a long way from his refusal to sacrifice himself for the CDU in an election that once looked impossible to win, through his statement that he would under no circumstances run against the wishes of Ms. Merkel and her party, to his willingness to take her on in a divisive vote if necessary.",the wishes,sentiment,low,positive,,,
740,One cannot assume that Israel will act under the pressure of deeds and oversights that are often tainted with a significant degree of hypocrisy.,the pressure of deeds and oversights that are often tainted with a significant degree of hypocrisy,sentiment,medium-high,negative,,,
741,What holds true with regard to threats by EU leaders also holds true for threats expressed by certain European states and the means of punishment they might already be implementing.,threats,intention,low-medium,positive,,,
742,What holds true with regard to threats by EU leaders also holds true for threats expressed by certain European states and the means of punishment they might already be implementing.,threats,sentiment,low-medium,negative,,,
743,"Despite the Parliament's recommendation, the chances that the association agreements will be suspended are very slim.",agreements,agreement,medium,positive,,,
744,"Despite the Parliament's recommendation, the chances that the association agreements will be suspended are very slim.",recommendation,other_attitude,low,,,,
745,What holds true with regard to threats by EU leaders also holds true for threats expressed by certain European states and the means of punishment they might already be implementing.,threats expressed,intention,low-medium,positive,,,
746,What holds true with regard to threats by EU leaders also holds true for threats expressed by certain European states and the means of punishment they might already be implementing.,threats expressed,sentiment,low-medium,negative,,X,
747,"It takes more than a recommendation from the European Parliament for this to happen; the decision has to be taken by both the European Commission and the EU's Council of Foreign Ministers, on which all 15 foreign ministers sit, and has to be unanimous.",recommendation,other_attitude,low,,,,
748,If the Europeans wish to influence Israel in the political arena -- in a direction that many in Israel would support wholeheartedly -- they will not be able to promote their positions in such a manner.,promote their positions,arguing,low-medium,positive,,,
749,It amounted to much more than what one could have expected.,could have expected,other_attitude,low,,,,
750,"""Accordingly, at this time it is your turn to think,"" Putin said.",to think,other_attitude,low,,,,
751,He was criticized more than recognized for his policy.,policy,other_attitude,low,,,,
752,"If we view this warning against the background that Putin's government has always seen Usama Bin Ladin's hands behind ""Chechen terrorism,"" we were witnessing a late recognition of Moscow's views.",views,other_attitude,low-medium,,X,,
753,But making this complex decision was not easy for him.,decision,other_attitude,low,,,,X
754,"In reality, Putin asked for a free hand regarding Chechnia, some understanding, or even that the Americans look the other way.",look the other way,other_attitude,low,,,,
755,"In reality, Putin asked for a free hand regarding Chechnia, some understanding, or even that the Americans look the other way.",understanding,sentiment,low-medium,positive,,,
756,The Russian President has understood this American recognition.,recognition,agreement,low-medium,positive,,,
757,"This is fulfilled  through humbleness 
and flexibility towards the brothers and the rest of the Muslims, good manners, rejection of 
disputes, and mutual agreement and settlement of differences.",agreement,agreement,low,positive,,,
758,Ed_Henry	male	native	 Republican leader Bill Frist was enraged /.,enraged,sentiment,extreme,negative,,X,
759,Ed_Henry	male	native	 Reed refused to back down demanding the Republican led intelligence committee finish a long awaited report on whether the Bush administration twisted intelligence /.,refused to back down,other_attitude,medium-high,,,,
760,Ed_Henry	male	native	 What's really going on is Democrats feel emboldened by the indictment of Vice President Cheney's former chief of staff believing this is their chance to issue a broader indictment of the Bush administration /.,emboldened,other_attitude,medium-high,,,,
761,Harry_Reed	male	native	 Mr. President enough time has gone by /.,enough time has gone by,arguing,medium,positive,,,
762,"Thanks,",Thanks,sentiment,low,positive,,,
763,"Thanks,",Thanks,sentiment,low-medium,positive,,,
764,conservative israelis are skeptical.,skeptical,sentiment,medium,negative,,,
765,exactly,exactly,agreement,medium,positive,,,
766,exactly,exactly,agreement,medium,positive,,,
767,"Sincerely,
      ARLETTA B.NEWTON Donor Relations Coordinator ",Sincerely,sentiment,medium,positive,X,,
768,"Sincerely,
      Richard H. Gilbert, Jr. Past Board Member YMCA of Greater
      Indianapolis",Sincerely,sentiment,low-medium,positive,,,
769,"Unfortunately, their zeal was not matched by their discrimination.",zeal,sentiment,high,positive,,,
770,"But the country was politically
        fragmented, with arguments between monarchists and republicans, right
        and left, and tension escalated into civil war.",arguments,agreement,medium,negative,,,
771,"Their curiosity pushed them to build vessels that
        were strong enough to ford the open seas and reach these islands,
        marking the start of the long legacy of Mediterranean seafaring.",curiosity,sentiment,,positive,,,
772,"The high quality of the seam on Milos ensured that the area
        remained popular with early travelers.",popular,sentiment,medium,positive,,,
773,"Think of all the good stuff we all collect daily in our reporting that we
never add to stories.",Think of all the good stuff,other_attitude,medium-high,,,,
774,"I often wonder when a really great fictional book will be
written about this era (probably decades and decades hence as it is too close).","wonder when a really great fictional book will be
written about this era",other_attitude,medium,,,,
775,The Entrepreneur Is the New Madonna,The Entrepreneur Is the New Madonna,arguing,medium,positive,,,
776,"I would
posit that Bill and Michael and Steve and Jerry have become the Madonnas of the
current age of stock market mania and celebration of the entrepreneur.","Bill and Michael and Steve and Jerry have become the Madonnas of the
current age of stock market mania and celebration of the entrepreneur",arguing,medium,positive,,,
777,"I often feel as
if I only get half the story sometimes, so I typically do a massive amount of
reporting that is most often much more than I will ever need.","as
if I only get half the story sometimes",speculation,medium,,,,
778,oh i guess i really don't know,really don't know,other_attitude,low-medium,,,,
779,"Many Little Sisters are preparing to go back to school this fall full
      of hope and with a positive outlook.","full
      of hope and with a positive outlook",sentiment,high,positive,,,
780,"Sincerely,
      Andrew T. Burns Patron Relations Chairperson
      P.S. When you give to Big Sisters, you can get 50% back!",Sincerely,sentiment,low-medium,positive,,,
781,And we're just getting started!,And we're just getting started!,sentiment,medium-high,positive,,,
782,"Sincerely,
      Julie Marsh Executive Director
      P.S. We know our follow-up weekends are going to be better attended
      than ever this fall and winter.",Sincerely,sentiment,low,positive,,,
783,"A robust economy helps by
      providing job opportunities, but to be honest, most of the people who
      aren't working today are quite simply the ones who face the greatest
      obstacles.","A robust economy helps by
      providing job opportunities",arguing,low-medium,positive,,,
784,"A robust economy helps by
      providing job opportunities, but to be honest, most of the people who
      aren't working today are quite simply the ones who face the greatest
      obstacles.","to be honest, most of the people who
      aren't working today are quite simply the ones who face the greatest
      obstacles",arguing,medium-high,positive,,,
785,"To help you see how much your contribution means, I'm sharing with you
      The words of people who have lived Goodwill's mission.",people who have lived Goodwill's mission,sentiment,,positive,,,
786,I've got more than a job; I've got a career.,I've got more than a job; I've got a career,arguing,medium,positive,,,
787,"Use the enclosed card
      and give a generous gift to Goodwill today!",give a generous gift,other_attitude,medium-high,,,,
788,"Coming to Goodwill
      was the first step toward my becoming totally independent.","Coming to Goodwill
      was the first step toward my becoming totally independent",arguing,medium,positive,,,
789,"Donna
      Because teaching a man to fish will keep him fed for his entire
      life.","Because teaching a man to fish will keep him fed for his entire
      life",arguing,medium,positive,,,
790,I would be sad ...,would be sad,sentiment,medium,negative,,,
791,You can help them to know that feeling.,You can help them to know that feeling,arguing,medium,positive,,,
792,I had my second chance to change my life.,I had my second chance to change my life,arguing,medium-high,positive,,,
793,"Sherry
      Because people want to work.",Because people want to work,agreement,medium,positive,,,
794,"The kinds of services we provide help people deal with obstacles like
      health care, transportation and child care -problems that are big enough
      on their own without being compounded by factors like physical and mental
      disabilities, illiteracy and lack of job skills.","without being compounded by factors like physical and mental
      disabilities, illiteracy and lack of job skills",other_attitude,low-medium,,,,
795,"Right now, there are thousands of people who do not know what it feels
      like to support themselves.",Right now,other_attitude,medium-high,,,,
796,"Maureen
      Because turning welfare recipients into tax payers just makes
      sense.","Because turning welfare recipients into tax payers just makes
      sense",arguing,medium,positive,,,
797,Welcome back to our show!,Welcome back,sentiment,low-medium,positive,,,
798,"Sincerely,
      Earline S. Moore President
      Valery De Long Director of Development",Sincerely,sentiment,low,positive,,,
799,"Sincerely,
      Dr. Linda McCoy Pastor, THE GARDEN A Blossom of St. Luke's United
      Methodist Church",Sincerely,sentiment,low-medium,positive,,,
800,"He said he had problems in his marriage,"" says Stephanopoulos,
correcting Donaldson's deviation from the pre-scripted fudge-phrase of the day.",pre-scripted fudge-phrase of the day,sentiment,medium-high,negative,,,
801,"It's as if Roy Cohn went on television in the mid-'50s to soberly rue the
damage wreaked by Sen. Joe McCarthy, without any apology for his own role.","It's as if Roy Cohn went on television in the mid-'50s to soberly rue the
damage wreaked by Sen. Joe McCarthy, without any apology for his own role",sentiment,medium,negative,,,
802,"Last week, when the Lewinsky story was only
a few hours old, Stephanopoulos popped up on Good Morning America to
demonstrate his concern.",concern,sentiment,medium,positive,,,
803,"There's no question that, if they're true, they
...",no question,other_attitude,high,,,,
804,"Coming to Goodwill was the first
      step toward my becoming totally independent.","Coming to Goodwill was the first
      step toward my becoming totally independent.",arguing,medium,positive,,,
805,I would be sad...,would be sad,sentiment,medium,negative,,,
806,"In
      addition to that, by helping them find jobs, Goodwill reduced the state's
      Public Support tab by an estimated $4 million.","by helping them find jobs, Goodwill reduced the state's
      Public Support tab by an estimated $4 million",arguing,medium,positive,X,,
807,"I've got more than a job;
      I've got a career.","I've got more than a job;
      I've got a career.",arguing,medium,positive,,,
808,"I had my
      second chance to change my life.","I had my
      second chance to change my life.",arguing,medium,positive,,,
809,"Sincerely,
      Richard Dickinson
      P.S. You can make a difference in a child's life.",Sincerely,sentiment,medium,positive,,,
810,"June 1, 1998 BOYS & Girls Club OF INDIANAPOLIS
      Dear Friend,
      It's summertime, so it must be time for CAMP!",Friend,sentiment,medium,positive,X,,
811,"Sincerely,
      Mary Roth Executive Director",Sincerely,other_attitude,medium,,,,
812,"It
      may help a family stay together.",may help a family stay together,speculation,medium,,,,
813,"Dear Friends of Pleasant Run:
      The holiday season is the time of year when we're all busy buying
      gifts, baking goodies, decorating our homes and making arrangements to be
      with family and friends.",Friends,sentiment,medium,positive,,,
814,"Sincerely,
      Valery De Long Director of Development",Sincerely,sentiment,low-medium,positive,,X,
815,"Giuliani makes Ken Starr look like a
patsy,"" cried Time this week.","Giuliani makes Ken Starr look like a
patsy",other_attitude,medium,,,,
816,"What has your support of our campers meant to them and what have they
      been able to accomplish because you care?",care,sentiment,medium,positive,,,
817,Confidence.,Confidence,other_attitude,low-medium,,,,
818,"Sincerely,
      Julie Marsh, Executive Director
      P.S. You make it possible for us to help special kids with learning
      disabilities, behavior problems and economic disadvantages to gain the
      confidence required to put genuine effort into achieving real goals.",Sincerely,sentiment,low-medium,positive,X,,
819,"Sincerely,
      Mary Roth Executive Director",Sincerely,sentiment,medium,positive,,,
820,"Sincerely,",Sincerely,sentiment,medium,positive,,,
821,"When Jesus was born in about 4 b.c. , Joseph and Mary escaped Herod' s
        paranoia by fleeing into Egypt with the new-born infant.",paranoia,sentiment,medium,negative,,,
822,"Support Goodwill with a
      generous donation today.",today,other_attitude,low,,,,
823,"Of course, we've played different roles.",Of course,other_attitude,low,,,,
824,Everyone benefits from the work we do together.,Everyone benefits from the work we do together,arguing,medium-high,positive,,,
825,"Sincerely, Judy Laikin, Chair Auction '99 Sponsor Committee",Sincerely,sentiment,low-medium,positive,,,
826,what was i'm trying to remember oh the other the one i talked about the other night was good it was,remember,other_attitude,medium,,,,
827,i know but they try every year and every year they get thrown out,know,other_attitude,low,,,,
828,"Think of the joy and success
      they bring to you and your loved ones.",joy,sentiment,medium-high,positive,,X,
829,"November 15, 1994
      Dear ,
      Think of your greatest accomplishments.",greatest accomplishments,sentiment,high,positive,,X,
830,"And then
      the pay-off begins for the entire community.",the pay-off begins for the entire community,sentiment,medium-high,positive,,,
831,"With support from people like you, they can overcome their barriers
      and earn success and the self-sufficiency that comes with it.",people like you,sentiment,medium-high,positive,,,
832,"Your gift will help give
      new meaning to the word success -- for people who have seldom had reason
      to use the word.","seldom had reason
      to use the word",sentiment,medium,negative,,,
833,"He resorted to public
      assistance dollars to survive.","He resorted to public
      assistance dollars to survive",other_attitude,medium-high,,,,
834,"Come one, Come all to the Inaugural Jameson Grill
      The only fund raising event in the world where you can bring your
      entire family, other employees, or maybe even your neighbors.","The only fund raising event in the world where you can bring your
      entire family, other employees, or maybe even your neighbors",sentiment,medium-high,positive,,,
835,"Please use the enclosed response card and envelope to give generously
      to Goodwill today.","Please use the enclosed response card and envelope to give generously
      to Goodwill today",arguing,medium,positive,,,
836,"Please use the enclosed response card and envelope to give generously
      to Goodwill today.",generously,sentiment,medium,positive,,,
837,"The people who can benefit most directly from your generosity have no
      time to waste.","The people who can benefit most directly from your generosity have no
      time to waste",arguing,high,negative,,,
838,"Every time we help someone find a solution to their employment
      barrier, the positive effects radiate throughout our community: The
      business community welcomes not only another worker, but a consumer with
      increased purchasing power.","Every time we help someone find a solution to their employment
      barrier, the positive effects radiate throughout our community",arguing,medium-high,positive,,,X
839,"Sincerely,",Sincerely,other_attitude,medium,,,,
840,"Sincerely,
      Judy Laikin, Chair Auction '99 Sponsor Committee",Sincerely,sentiment,low-medium,positive,,,
841,"The next destination was discussed: once again the Secret
                Service recommended against returning to Washington, and the Vice President agreed.",agreed,agreement,low,positive,,,
842,"Given this background, he wondered why so
                little thought had been devoted to the danger of suicide pilots, seeing a ""failure
                of imagination"" and a mind-set that dismissed possibilities.","seeing a ""failure
                of imagination"" ",sentiment,medium,negative,,,
843,"Given this background, he wondered why so
                little thought had been devoted to the danger of suicide pilots, seeing a ""failure
                of imagination"" and a mind-set that dismissed possibilities.","wondered why so
                little thought had been devoted to the danger of suicide pilots",sentiment,medium,negative,,,
844,"Sincerely,
      John Brandon Executive Director",Sincerely,sentiment,low,positive,X,,
